mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
63,1,1,total,absorption,5.122910163804546e-07,4.584746281644923e-07
64,1,1,total,flux,2.1224277198436534e-06,1.4149542248172354e-06
64,1,1,total,"(n,Xt)",0.0,0.0
64,1,1,total,heating-local,0.0,0.0
64,1,1,total,absorption,5.089504840807012e-07,4.578369305221185e-07
65,1,1,total,flux,1.0615396108097813e-06,1.0615396108097813e-06
65,1,1,total,"(n,Xt)",0.0,0.0
65,1,1,total,heating-local,0.0,0.0
65,1,1,total,absorption,4.6006186255141843e-07,4.6006186255141843e-07
66,1,1,total,flux,1.0601831150722348e-06,1.0601831150722346e-06
66,1,1,total,"(n,Xt)",0.0,0.0
66,1,1,total,heating-local,0.0,0.0
66,1,1,total,absorption,4.594739693167207e-07,4.594739693167207e-07
67,1,1,total,flux,1.058892203419191e-06,1.058892203419191e-06
67,1,1,total,"(n,Xt)",0.0,0.0
67,1,1,total,heating-local,0.0,0.0
67,1,1,total,absorption,4.5891449964320044e-07,4.589144996432005e-07
68,1,1,total,flux,1.6955488606861167e-06,1.6955488606861167e-06
68,1,1,total,"(n,Xt)",0.0,0.0
68,1,1,total,heating-local,0.0,0.0
68,1,1,total,absorption,4.907580674073571e-07,4.907580674073571e-07
69,1,1,total,flux,2.7433017933583666e-06,1.8302358569904213e-06
69,1,1,total,"(n,Xt)",0.0,0.0
69,1,1,total,heating-local,0.0,0.0
69,1,1,total,absorption,4.7627878474489264e-07,4.7627878474489264e-07
70,1,1,total,flux,2.5876895912245466e-06,1.761373585297604e-06
70,1,1,total,"(n,Xt)",0.0,0.0
70,1,1,total,heating-local,0.0,0.0
70,1,1,total,absorption,4.5738901116234287e-07,4.5738901116234287e-07
71,1,1,total,flux,3.897072858476111e-06,2.0157648182528024e-06
71,1,1,total,"(n,Xt)",0.0,0.0
71,1,1,total,heating-local,0.0,0.0
71,1,1,total,absorption,4.590066374815144e-07,4.566998302860675e-07
72,1,1,total,flux,4.5297699526475775e-06,2.401285072653832e-06
72,1,1,total,"(n,Xt)",0.0,0.0
72,1,1,total,heating-local,0.0,0.0
72,1,1,total,absorption,4.595724837382851e-07,4.5615136348350963e-07
73,1,1,total,flux,4.4813851161809675e-06,2.3688504494269957e-06
73,1,1,total,"(n,Xt)",0.0,0.0
73,1,1,total,heating-local,0.0,0.0
73,1,1,total,absorption,4.5907837933936534e-07,4.557360854891828e-07
74,1,1,total,flux,4.4377861268518695e-06,2.3400131856964054e-06
74,1,1,total,"(n,Xt)",0.0,0.0
74,1,1,total,heating-local,0.0,0.0
74,1,1,total,absorption,4.5860986277124386e-07,4.5533828854328845e-07
75,1,1,total,flux,4.398268565591465e-06,2.3142000754832685e-06
75,1,1,total,"(n,Xt)",0.0,0.0
75,1,1,total,heating-local,0.0,0.0
75,1,1,total,absorption,4.5816478264079065e-07,4.549570359675882e-07
76,1,1,total,flux,3.61863551724582e-06,2.0032986189990057e-06
76,1,1,total,"(n,Xt)",0.0,0.0
76,1,1,total,heating-local,0.0,0.0
76,1,1,total,absorption,4.577412776603072e-07,4.5459144472472985e-07
77,1,1,total,flux,2.812918671541212e-06,1.949597678474113e-06
77,1,1,total,"(n,Xt)",0.0,0.0
77,1,1,total,heating-local,0.0,0.0
77,1,1,total,absorption,4.573377194742981e-07,4.5424068402167326e-07
78,1,1,total,flux,4.3662613614006355e-06,2.287469614914946e-06
78,1,1,total,"(n,Xt)",0.0,0.0
78,1,1,total,heating-local,0.0,0.0
78,1,1,total,absorption,4.587137401957796e-07,4.5371035947847884e-07
79,1,1,total,flux,5.214278559026868e-06,2.8552526071135055e-06
79,1,1,total,"(n,Xt)",0.0,0.0
79,1,1,total,heating-local,0.0,0.0
79,1,1,total,absorption,4.593191706281098e-07,4.5328289729004496e-07
80,1,1,total,flux,5.102056620122035e-06,2.7782866866985997e-06
80,1,1,total,"(n,Xt)",0.0,0.0
80,1,1,total,heating-local,0.0,0.0
80,1,1,total,absorption,4.588693423357974e-07,4.529825590810765e-07
81,1,1,total,flux,5.003263765025173e-06,2.711412231603597e-06
81,1,1,total,"(n,Xt)",0.0,0.0
81,1,1,total,heating-local,0.0,0.0
81,1,1,total,absorption,4.584475309831179e-07,4.5269284137108227e-07
82,1,1,total,flux,4.677967137574952e-06,2.54632156930675e-06
82,1,1,total,"(n,Xt)",0.0,0.0
82,1,1,total,heating-local,0.0,0.0
82,1,1,total,absorption,4.576740261207005e-07,4.524534711619251e-07
83,1,1,total,flux,3.209441012374616e-06,2.296821749283797e-06
83,1,1,total,"(n,Xt)",0.0,0.0
83,1,1,total,heating-local,0.0,0.0
83,1,1,total,absorption,4.55096616051327e-07,4.5242476341876546e-07
84,1,1,total,flux,3.1558665619570908e-06,2.249488996901417e-06
84,1,1,total,"(n,Xt)",0.0,0.0
84,1,1,total,heating-local,0.0,0.0
84,1,1,total,absorption,4.5476841330381807e-07,4.5216176545997626e-07
85,1,1,total,flux,2.630357411433302e-06,2.079042896824363e-06
85,1,1,total,"(n,Xt)",0.0,0.0
85,1,1,total,heating-local,0.0,0.0
85,1,1,total,absorption,2.475793444530545e-07,2.450361488176192e-07
86,1,1,total,flux,2.0214146385185224e-06,2.0214146385185224e-06
86,1,1,total,"(n,Xt)",0.0,0.0
86,1,1,total,heating-local,0.0,0.0
86,1,1,total,absorption,2.2505992995375095e-09,2.2505992995375095e-09
87,1,1,total,flux,1.6906619063167557e-06,1.6906619063167559e-06
87,1,1,total,"(n,Xt)",0.0,0.0
87,1,1,total,heating-local,0.0,0.0
87,1,1,total,absorption,1.8823463675418396e-09,1.8823463675418396e-09
88,1,1,total,flux,0.0,0.0
88,1,1,total,"(n,Xt)",0.0,0.0
88,1,1,total,heating-local,0.0,0.0
88,1,1,total,absorption,0.0,0.0
89,1,1,total,flux,0.0,0.0
89,1,1,total,"(n,Xt)",0.0,0.0
89,1,1,total,heating-local,0.0,0.0
89,1,1,total,absorption,0.0,0.0
90,1,1,total,flux,0.0,0.0
90,1,1,total,"(n,Xt)",0.0,0.0
90,1,1,total,heating-local,0.0,0.0
90,1,1,total,absorption,0.0,0.0
91,1,1,total,flux,0.0,0.0
91,1,1,total,"(n,Xt)",0.0,0.0
91,1,1,total,heating-local,0.0,0.0
91,1,1,total,absorption,0.0,0.0
92,1,1,total,flux,0.0,0.0
92,1,1,total,"(n,Xt)",0.0,0.0
92,1,1,total,heating-local,0.0,0.0
92,1,1,total,absorption,0.0,0.0
93,1,1,total,flux,0.0,0.0
93,1,1,total,"(n,Xt)",0.0,0.0
93,1,1,total,heating-local,0.0,0.0
93,1,1,total,absorption,0.0,0.0
94,1,1,total,flux,9.575257270404905e-07,9.575257270404905e-07
94,1,1,total,"(n,Xt)",0.0,0.0
94,1,1,total,heating-local,0.0,0.0
94,1,1,total,absorption,0.0,0.0
95,1,1,total,flux,1.0796224874945325e-06,1.0796224874945325e-06
95,1,1,total,"(n,Xt)",0.0,0.0
95,1,1,total,heating-local,0.0,0.0
95,1,1,total,absorption,0.0,0.0
96,1,1,total,flux,1.0796004023305698e-06,1.0796004023305698e-06
96,1,1,total,"(n,Xt)",0.0,0.0
96,1,1,total,heating-local,0.0,0.0
96,1,1,total,absorption,0.0,0.0
97,1,1,total,flux,1.0795790015062182e-06,1.0795790015062182e-06
97,1,1,total,"(n,Xt)",0.0,0.0
97,1,1,total,heating-local,0.0,0.0
97,1,1,total,absorption,0.0,0.0
98,1,1,total,flux,1.0795582570240471e-06,1.0795582570240471e-06
98,1,1,total,"(n,Xt)",0.0,0.0
98,1,1,total,heating-local,0.0,0.0
98,1,1,total,absorption,0.0,0.0
99,1,1,total,flux,1.079538142304628e-06,1.079538142304628e-06
99,1,1,total,"(n,Xt)",0.0,0.0
99,1,1,total,heating-local,0.0,0.0
99,1,1,total,absorption,0.0,0.0
100,1,1,total,flux,1.0795186321011557e-06,1.0795186321011555e-06
100,1,1,total,"(n,Xt)",0.0,0.0
100,1,1,total,heating-local,0.0,0.0
100,1,1,total,absorption,0.0,0.0
101,1,1,total,flux,1.0794997024198808e-06,1.0794997024198808e-06
101,1,1,total,"(n,Xt)",0.0,0.0
101,1,1,total,heating-local,0.0,0.0
101,1,1,total,absorption,0.0,0.0
102,1,1,total,flux,1.079481330446285e-06,1.079481330446285e-06
102,1,1,total,"(n,Xt)",0.0,0.0
102,1,1,total,heating-local,0.0,0.0
102,1,1,total,absorption,0.0,0.0
103,1,1,total,flux,1.0794634944762577e-06,1.079463494476258e-06
103,1,1,total,"(n,Xt)",0.0,0.0
103,1,1,total,heating-local,0.0,0.0
103,1,1,total,absorption,0.0,0.0
104,1,1,total,flux,1.8378986590342808e-06,1.2484065694737248e-06
104,1,1,total,"(n,Xt)",0.0,0.0
104,1,1,total,heating-local,0.0,0.0
104,1,1,total,absorption,4.137386473576529e-09,4.1373864735765285e-09
105,1,1,total,flux,2.278151460060585e-06,1.521368175015236e-06
105,1,1,total,"(n,Xt)",0.0,0.0
105,1,1,total,heating-local,0.0,0.0
105,1,1,total,absorption,6.53907363372528e-09,6.53907363372528e-09
106,1,1,total,flux,2.351143921825398e-06,1.510899947985382e-06
106,1,1,total,"(n,Xt)",0.0,0.0
106,1,1,total,heating-local,0.0,0.0
106,1,1,total,absorption,6.653627997807051e-09,6.527145208924357e-09
107,1,1,total,flux,3.858177790286463e-06,2.0028071929704113e-06
107,1,1,total,"(n,Xt)",0.0,0.0
107,1,1,total,heating-local,0.0,0.0
107,1,1,total,absorption,9.020734500251005e-09,6.731182432940858e-09
108,1,1,total,flux,3.857248987671029e-06,2.0022026562367207e-06
108,1,1,total,"(n,Xt)",0.0,0.0
108,1,1,total,heating-local,0.0,0.0
108,1,1,total,absorption,9.019181075221874e-09,6.730665743035345e-09
109,1,1,total,flux,3.85634716894893e-06,2.0016158924906503e-06
109,1,1,total,"(n,Xt)",0.0,0.0
109,1,1,total,heating-local,0.0,0.0
109,1,1,total,absorption,9.017672644034493e-09,6.730164097887857e-09
110,1,1,total,flux,3.85547128555993e-06,2.0010462014051653e-06
110,1,1,total,"(n,Xt)",0.0,0.0
110,1,1,total,heating-local,0.0,0.0
110,1,1,total,absorption,9.0162074644457e-09,6.729676910912855e-09
111,1,1,total,flux,3.854620340002399e-06,2.000492917287479e-06
111,1,1,total,"(n,Xt)",0.0,0.0
111,1,1,total,heating-local,0.0,0.0
111,1,1,total,absorption,9.014783878720526e-09,6.729203624221643e-09
112,1,1,total,flux,3.853793382844502e-06,1.9999554070178153e-06
112,1,1,total,"(n,Xt)",0.0,0.0
112,1,1,total,heating-local,0.0,0.0
112,1,1,total,absorption,9.01340030870507e-09,6.72874370693181e-09
113,1,1,total,flux,3.8529895099400034e-06,1.9994330681317072e-06
113,1,1,total,"(n,Xt)",0.0,0.0
113,1,1,total,heating-local,0.0,0.0
113,1,1,total,absorption,9.012055251236918e-09,6.728296653594919e-09
114,1,1,total,flux,3.852207859831708e-06,1.9989253270338836e-06
114,1,1,total,"(n,Xt)",0.0,0.0
114,1,1,total,heating-local,0.0,0.0
114,1,1,total,absorption,9.010747273860437e-09,6.727861982727459e-09
115,1,1,total,flux,3.851447611330273e-06,1.998431637334522e-06
115,1,1,total,"(n,Xt)",0.0,0.0
115,1,1,total,heating-local,0.0,0.0
115,1,1,total,absorption,9.009475010834619e-09,6.727439235446805e-09
116,1,1,total,flux,3.850707981251206e-06,1.9979514782963884e-06
116,1,1,total,"(n,Xt)",0.0,0.0
116,1,1,total,heating-local,0.0,0.0
116,1,1,total,absorption,9.008237159396678e-09,6.727027974192067e-09
117,1,1,total,flux,4.321901701003719e-06,1.9516401077254807e-06
117,1,1,total,"(n,Xt)",0.0,0.0
117,1,1,total,heating-local,0.0,0.0
117,1,1,total,absorption,9.007032476275101e-09,6.726627781533301e-09
118,1,1,total,flux,6.010751940215941e-06,2.368980672743181e-06
118,1,1,total,"(n,Xt)",0.0,0.0
118,1,1,total,heating-local,0.0,0.0
118,1,1,total,absorption,9.005859774426254e-09,6.726238259057498e-09
119,1,1,total,flux,9.506049441025157e-06,2.7296542807017393e-06
119,1,1,total,"(n,Xt)",0.0,0.0
119,1,1,total,heating-local,0.0,0.0
119,1,1,total,absorption,2.982177494695742e-08,2.090289701679886e-08
120,1,1,total,flux,9.593754400327256e-06,2.8453542244803213e-06
120,1,1,total,"(n,Xt)",0.0,0.0
120,1,1,total,heating-local,0.0,0.0
120,1,1,total,absorption,3.506715541817101e-08,2.5930538855943215e-08
121,1,1,total,flux,5.908478852534473e-06,2.5434681545320944e-06
121,1,1,total,"(n,Xt)",0.0,0.0
121,1,1,total,heating-local,0.0,0.0
121,1,1,total,absorption,8.321031598889788e-07,8.22127255378389e-07
122,1,1,total,flux,6.1449683223730965e-06,2.545438116600568e-06
122,1,1,total,"(n,Xt)",0.0,0.0
122,1,1,total,heating-local,0.0,0.0
122,1,1,total,absorption,9.001466841115706e-09,6.7247795117785886e-09
123,1,1,total,flux,6.530318017750042e-06,2.817267210880972e-06
123,1,1,total,"(n,Xt)",0.0,0.0
123,1,1,total,heating-local,0.0,0.0
123,1,1,total,absorption,8.812169301024618e-09,6.531508004289593e-09
124,1,1,total,flux,6.4255130618980315e-06,2.8248733646018497e-06
124,1,1,total,"(n,Xt)",0.0,0.0
124,1,1,total,heating-local,0.0,0.0
124,1,1,total,absorption,1.3069221858401917e-08,8.712814988677796e-09
125,1,1,total,flux,6.393797467187058e-06,2.8100913281810176e-06
125,1,1,total,"(n,Xt)",0.0,0.0
125,1,1,total,heating-local,0.0,0.0
125,1,1,total,absorption,1.306467201210591e-08,8.709783356988074e-09
126,1,1,total,flux,7.544049047037839e-06,2.6450676476905592e-06
126,1,1,total,"(n,Xt)",0.0,0.0
126,1,1,total,heating-local,0.0,0.0
126,1,1,total,absorption,1.4790796456069789e-08,8.58959712085145e-09
127,1,1,total,flux,8.573546472399784e-06,2.6121879028548253e-06
127,1,1,total,"(n,Xt)",0.0,0.0
127,1,1,total,heating-local,0.0,0.0
127,1,1,total,absorption,2.042084980017614e-08,1.0422717570246951e-08
128,1,1,total,flux,1.0369608868879789e-05,4.023858008468328e-06
128,1,1,total,"(n,Xt)",0.0,0.0
128,1,1,total,heating-local,0.0,0.0
128,1,1,total,absorption,1.3731415411916383e-07,1.1507994677250609e-07
129,1,1,total,flux,1.0757544469919468e-05,4.380142004841124e-06
129,1,1,total,"(n,Xt)",0.0,0.0
129,1,1,total,heating-local,0.0,0.0
129,1,1,total,absorption,1.638337662545012e-07,1.4152021842440812e-07
130,1,1,total,flux,1.0679572096988695e-05,4.324967665308268e-06
130,1,1,total,"(n,Xt)",0.0,0.0
130,1,1,total,heating-local,0.0,0.0
130,1,1,total,absorption,1.6039863025284605e-07,1.3809907292514156e-07
